,Model,StandardValues,ConditionOfInterest,ID,Repetition,Mean_Modeled,SD_Modeled,AIC,CoefCond,CoefInteract,PvaluesCoI,PvaluesInterac,SECoI,SEInterac,Mean_Actual,SD_Actual,PSE_Difference,JND_Difference,Condition_PSEJND,ActualPSEs,ActualSDs,Condition,AIC_Norm
95,M14,7,1,s4,1,0.547538298,1.235885591,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.442654168,1.485600687,-0.05,0.125,0.125-0.05,-0.7,1.3125,Condition of Interest,-49.64705297
96,M14,8,1,s4,1,0.659878426,1.489736379,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.505890477,1.697829357,-0.05,0.125,0.125-0.05,-0.8,1.5,Condition of Interest,-49.64705297
97,M14,5,1,s5,1,1.24132618,0.87840274,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.303837101,0.943801359,-0.05,0.125,0.125-0.05,-0.5,0.9375,Condition of Interest,-49.64705297
98,M14,6,1,s5,1,1.472514799,1.071278377,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.564604521,1.13256163,-0.05,0.125,0.125-0.05,-0.6,1.125,Condition of Interest,-49.64705297
99,M14,7,1,s5,1,1.785488248,1.243951317,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.825371941,1.321321902,-0.05,0.125,0.125-0.05,-0.7,1.3125,Condition of Interest,-49.64705297
100,M14,8,1,s5,1,2.108814841,1.494318107,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,2.086139362,1.510082174,-0.05,0.125,0.125-0.05,-0.8,1.5,Condition of Interest,-49.64705297
101,M14,5,1,s6,1,0.454789856,0.873113406,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.40481167,0.796003253,-0.05,0.125,0.125-0.05,-0.5,0.9375,Condition of Interest,-49.64705297
102,M14,6,1,s6,1,0.567512429,1.070878937,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.485774004,0.955203904,-0.05,0.125,0.125-0.05,-0.6,1.125,Condition of Interest,-49.64705297
103,M14,7,1,s6,1,0.651517631,1.245761769,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.566736338,1.114404555,-0.05,0.125,0.125-0.05,-0.7,1.3125,Condition of Interest,-49.64705297
104,M14,8,1,s6,1,0.801086227,1.492266472,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.647698672,1.273605205,-0.05,0.125,0.125-0.05,-0.8,1.5,Condition of Interest,-49.64705297
105,M14,5,1,s7,1,-1.392604073,0.863072616,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-1.467184299,1.055680429,-0.05,0.125,0.125-0.05,-0.5,0.9375,Condition of Interest,-49.64705297
