iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
16,30,10,nloptwrap_nAGQ0,954.5129089233417,0.41782415566628817,0.35817438732337714,0.7029070854187012,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
16,30,10,nloptwrap_nAGQ1,954.4967594812492,0.428355791751971,0.42858830042178736,1.8759889602661133,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
16,30,10,JuliaAIC_NeldMeader_AGP0,954.5103659704934,0.3572806895158704,0.2971384296329483,4.807,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
16,30,10,JuliaAIC_bobyqa_AGP0,954.5103660590192,0.3572736294876878,0.29718501069751546,0.548,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
17,30,10,NelderMead_nAGQ0,900.4003640912767,0.3058231009476147,0.9935954961587252,1.2352089881896973,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
17,30,10,NelderMead_nAGQ1,900.378536444401,0.3385171744520218,0.9893965549687298,5.251107931137085,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
17,30,10,Bobyqa_nAGQ0,900.4003640912767,0.3058231009476147,0.9935954961587252,1.2211918830871582,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
17,30,10,Bobyqa_nAGQ1,900.3785055428234,0.3383077554877832,0.9892345910347305,3.1242661476135254,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
17,30,10,nloptwrap_nAGQ0,900.4044379265152,0.3096848864333014,0.9477293950585228,0.6092319488525391,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
17,30,10,nloptwrap_nAGQ1,900.4036355470596,0.347025898873586,0.9672227920257277,1.5167980194091797,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
17,30,10,JuliaAIC_NeldMeader_AGP0,900.3958383128571,0.23841374053416645,0.9933127615258123,3.176,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
17,30,10,JuliaAIC_bobyqa_AGP0,901.7201475931438,0.3327117912949982,0.8643299707165653,0.297,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
18,30,10,NelderMead_nAGQ0,1000.0286739893819,0.4768760818373312,0.9611256913395948,1.3278300762176514,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
18,30,10,NelderMead_nAGQ1,999.991518641388,0.45518740134349917,0.9705325966845965,6.077924013137817,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
18,30,10,Bobyqa_nAGQ0,1000.0286739893819,0.4768760818373312,0.9611256913395948,1.329218864440918,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
18,30,10,Bobyqa_nAGQ1,999.9914795240358,0.45502336912628427,0.9701568059170121,3.4524619579315186,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
18,30,10,nloptwrap_nAGQ0,999.0320234735713,0.5356477134284096,0.8474354516506392,0.7963111400604248,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
18,30,10,nloptwrap_nAGQ1,998.9832918877947,0.5158575723076937,0.9067490691015971,1.8544740676879883,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
18,30,10,JuliaAIC_NeldMeader_AGP0,999.027364158484,0.4844256862532772,0.8283612425070024,7.922,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
18,30,10,JuliaAIC_bobyqa_AGP0,999.027364754174,0.484419370295465,0.8286110463718881,0.663,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
19,30,10,NelderMead_nAGQ0,992.1365691266818,0.047595469695616545,0.013756555838117794,1.9435529708862305,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
19,30,10,NelderMead_nAGQ1,992.1249436871728,0.049364387199455774,0.09448092204090329,6.07926607131958,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
19,30,10,Bobyqa_nAGQ0,992.1365691266818,0.047595469695616545,0.013756555838117794,1.92781400680542,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
19,30,10,Bobyqa_nAGQ1,992.1248641456168,0.04919637946416602,0.09442971148004356,3.9469311237335205,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
19,30,10,nloptwrap_nAGQ0,992.1367814716294,0.04763875542197068,0.013762196162947606,0.5247280597686768,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
19,30,10,nloptwrap_nAGQ1,992.1253778203373,0.050018891612992986,0.09496280005086483,1.6246168613433838,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
19,30,10,JuliaAIC_NeldMeader_AGP0,992.1346861382584,0.025011175522975618,0.005328110358972694,5.947,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
19,30,10,JuliaAIC_bobyqa_AGP0,992.1346862287825,0.025013628767776006,0.005328151470050022,0.469,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
20,30,10,NelderMead_nAGQ0,947.9652249439081,0.8378038404267334,0.4112783231102887,1.6631789207458496,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
20,30,10,NelderMead_nAGQ1,947.9463907016898,0.8338986628633998,0.5348741684557647,4.670752048492432,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
20,30,10,Bobyqa_nAGQ0,947.9652249439081,0.8378038404267334,0.4112783231102887,1.6416311264038086,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
